GID,count
3440198,1
2513558,1
3840356,1
3801430,1
4236356,1
3040084,1
4328044,1
2908659,1
3491741,2
4231450,1
3829719,2
4301421,1
4333552,1
4306165,1
3723473,3
3236816,2
4069506,2
4398868,1
3592876,1
2912826,1
4256454,1
4354208,1
4430835,1
3870751,1
3896645,1
2023455,1
3871147,6
3563752,1
3625960,1
3920430,1
1455881,5
4425166,1
4396024,1
3997211,1
4379708,1
3532513,1
3116768,2
4339848,1
4092224,1
4414475,1
4389681,1
2476572,1
3845643,1
4233074,1
4365236,1
2193792,1
2869108,1
4383219,2
2376781,1
4425663,1
3945931,1
1663981,2
4327653,1
3419034,1
3431788,1
4335834,1
4485126,1
3849703,2
1276459,1
4415529,1
3687046,1
3971770,1
4192018,1
3997665,1
4441864,1
4028641,1
4306666,1
4063057,1
4233076,1
3852160,1
4311561,2
3708827,1
2467051,1
4306667,3
4368740,1
2757573,1
4317403,2
4192965,1
4454221,1
4012829,1
4009931,1
4436690,1
3963140,2
4433685,1
4436691,1
4187340,1
4268872,1
2374218,9
4358607,1
3994381,1
4306668,3
4399982,1
3560022,1
4459462,1
2842165,1
4237020,1
3721744,1
2522359,1
4074580,1
1336889,1
3048049,1
3954071,1
4446818,1
3687997,1
3436625,1
3753263,2
3973106,1
3795519,1
1498098,1
3470645,1
4343083,1
1851537,3
4433689,2
2439931,1
4095733,1
3237934,1
1943806,4
4168139,1
4391010,1
4138123,1
1828382,1
3444034,1
2552143,1
4306600,1
3719742,3
2314643,1
3955579,1
4028649,1
4332557,1
4439252,3
4151814,1
4000479,1
3826212,1
4266808,1
4224101,2
3230097,1
4441917,1
3041862,3
4309563,1
3007509,1
3622849,1
4096628,1
4419652,9
4414369,1
3573449,2
3663322,1
2204395,1
4343133,2
4237027,1
4333170,1
1885671,2
4456797,2
4447887,1
4167909,1
4257738,1
4441919,1
2274155,1
4426781,1
2523635,1
3114313,1
4393581,1
2820177,1
4320527,1
3827890,1
4008889,1
4439094,1
4391015,1
3754045,1
4400394,1
4415640,1
2963783,1
4266037,1
3528127,1
4175812,1
4411086,1
4393583,1
4131893,1
3981963,1
4389623,3
2494947,1
4171097,1
4448664,1
2115957,1
4403726,4
757788,1
3765685,1
1842195,1
4264590,1
4314465,1
1052382,1
4316742,1
4416372,1
4414914,1
2210349,1
4506976,1
3646237,1
2849738,1
3731160,1
3615899,1
4279180,1
3630802,1
1507739,1
4314510,1
4370860,2
4356280,1
4445498,1
3066304,1
4352997,1
4039728,2
4219430,1
3842916,1
4100495,1
4410902,4
3510302,1
3720633,1
4283511,1
3566996,1
3628258,1
3859577,1
4466370,1
4329552,1
4476171,1
3982742,1
2923360,1
4355103,1
4443268,1
4418815,1
2958164,1
4443312,1
3777813,1
3799035,2
4312075,1
4381718,1
4350767,2
4384229,1
4298058,2
4169754,1
4254182,1
3434624,2
3559915,1
4249288,1
4163012,1
4191903,1
3706551,1
4448391,1
4410905,1
4285909,1
4447329,1
4086108,1
1707994,1
3925503,1
2352619,1
3465415,3
3576070,1
3630808,1
4376996,3
4471549,1
4344865,1
3131631,2
3435400,10
3310228,1
4344866,1
4093689,1
4440643,1
4258695,1
4420997,1
4456123,1
3929853,1
4004768,1
4074527,2
4455232,1
4341248,2
4233080,1
3638893,1
4452065,1
4337126,1
2729622,1
4245320,1
4314851,1
4362688,3
3640945,1
4002537,1
2962831,1
4460904,1
3852607,1
4276067,1
4056999,3
2809157,1
3488478,1
4301433,1
4443157,1
3815302,1
4344869,1
3494426,2
3508303,1
3762455,1
3755822,1
4375540,1
3465915,2
4433690,1
4339244,1
3748984,1
4081046,1
2156775,1
4399158,1
2568967,1
3096708,1
4395800,1
4428506,1
4097634,1
4131176,1
4188192,1
755288,1
3982137,1
2706405,1
4396530,2
4366470,1
4363013,1
3174298,1
4152779,2
4191587,1
4148206,1
3930244,4
2947526,1
4036949,1
3915548,6
4334953,1
3811408,1
4396487,1
1890016,1
4461638,1
4215761,1
3912425,1
4361189,1
4302328,1
4276566,1
3067424,2
4184505,4
4332678,1
4342523,1
2716498,1
4448445,1
4116528,1
4087224,1
4299670,1
3600477,1
3592324,1
4078766,3
4293208,1
4344919,1
3814912,1
2926424,3
2616914,1
1467029,1
1384779,4
3813527,1
2758971,1
4301160,1
4406353,1
4082276,2
4092121,1
3786790,1
2023968,1
3948790,1
4114749,1
3457461,1
4087722,2
4262303,1
1609761,1
4159849,1
4332068,1
4291762,1
4416200,1
4454730,1
1577119,1
3994394,1
2710416,1
2457428,1
4402341,2
4264420,1
4060282,1
4059446,2
4142911,1
4340746,1
4434634,1
4232245,2
2513840,1
3407513,1
4087112,2
4238871,1
4403189,1
2424902,1
4355336,1
658601,1
4236919,1
4393092,1
4036560,1
4242381,3
3815647,1
4463148,1
2710419,1
4036561,1
4053814,1
4159079,1
4191523,2
3592051,1
3601915,1
1190537,13
3660164,2
1917701,1
4464536,1
4368641,1
4329220,1
4262804,1
3508984,1
4099483,3
4404579,1
3514770,1
3472164,1
3741246,5
3537540,1
4298338,1
3592053,1
2805534,1
4388901,1
3996227,1
4210416,1
4314633,1
4347042,3
4270825,1
2625058,1
1913149,1
4069630,1
2999649,2
4212370,3
4379831,1
4356610,1
2792883,1
2667981,1
2296659,1
4337855,1
4242386,1
3835631,1
4266499,1
3656992,1
4450111,1
3779103,1
2961679,1
4359122,1
4431194,2
3457191,1
4378941,1
2615142,1
4212534,1
1819985,1
3278876,1
4060948,1
1472269,1
4415652,1
4140525,1
2229501,1
2734753,1
4416705,1
4390471,1
4341367,1
4241380,1
3290567,1
4471101,1
4301055,1
1725980,1
4279190,1
4424564,1
4308734,5
4390472,1
1692609,1
4375820,1
3731946,1
3949738,1
4302280,1
1749147,1
4314476,1
3214455,1
4409256,1
4436643,1
4342917,1
2771449,2
4362690,1
3843042,2
4300779,1
4012340,1
3604768,1
4072255,2
4308736,2
4390474,1
4429192,2
4312245,1
4036291,1
2987342,1
3393412,1
4289769,1
3423896,1
3376934,1
4205581,1
3672089,1
3697137,3
4081166,1
4495712,1
3947346,1
4332505,2
4390475,1
4045526,2
4503092,1
4346655,1
4345151,1
4365861,1
4224500,1
3956301,1
3652371,1
2768103,11
3057247,1
4007449,1
4380720,2
2320335,1
3630493,1
4439653,1
1933138,1
3908260,1
3911202,2
4180564,1
4407973,1
3815263,1
4397209,2
4040461,2
4134016,1
3179414,1
2994474,1
3213569,1
4386356,1
3843380,1
3806967,1
4423110,1
3312352,1
4361191,3
4354225,1
3874782,1
4401349,1
3827342,1
4325100,1
3911204,1
3639180,1
3646588,2
4426073,1
3669853,1
2635743,1
2474472,1
3405017,1
4152171,2
3387514,1
3423333,1
4439043,1
4250794,1
4436037,1
3749432,1
4321206,3
4063685,1
4130293,2
4046756,2
3557534,1
4288154,2
4472173,1
3562386,1
4448117,1
3613000,2
3939216,2
3675147,3
4038620,1
4263152,1
4422675,2
4040015,1
3386013,1
3463648,2
4218441,2
4415709,1
4432476,1
4491381,1
4400796,2
4247566,1
4365417,1
4226128,1
4161742,1
4135741,2
2474477,2
3023674,1
3957984,1
4166035,1
4345159,1
4383572,1
4446176,1
2991852,1
4161086,1
2992581,1
3865310,1
4409483,2
4424503,1
4429086,1
3659941,1
4433090,1
4317422,1
4096756,1
3638296,1
4210983,1
4326170,1
4436871,1
3539601,1
3824721,1
4391098,1
4362135,1
2965691,3
4291886,1
4441885,1
3613500,1
4446179,1
4361740,1
795659,2
3851291,1
2258246,1
4212768,1
3124406,1
4462424,1
4459482,1
4409487,2
4063575,1
3611720,1
3997120,1
3889760,3
3876791,1
2077420,1
4184519,1
4390093,2
3978861,1
4034002,1
3069104,1
3226811,1
4311749,1
4060292,1
3526971,1
4025381,1
4428740,1
3869665,1
4140031,1
4493829,1
4364869,1
4313090,4
4139980,1
4381680,1
4429137,1
4295220,1
3556870,1
4128343,1
4057838,1
962442,1
4349443,1
3975740,1
4438994,1
4202692,1
3985380,3
4446068,1
4304344,1
4223843,1
4133690,1
4154958,1
4313092,1
3598191,1
4133401,1
3846447,1
4446069,1
4139370,1
4397163,1
4381845,1
3657718,2
4458309,1
4483419,1
4426467,1
3047562,1
4438996,3
4110589,1
4438997,1
4277242,1
3810259,1
4072870,2
4241827,2
4221568,1
2138131,1
4458149,1
4138643,1
4444171,1
4457096,1
3994455,1
4403699,3
4198719,1
1411633,1
4453856,1
3029907,1
3982422,1
4308083,1
4492052,1
4365648,1
4369707,1
4414274,1
3802575,2
4414931,1
4422618,1
4074493,6
4454587,1
4400621,2
4027828,1
2537356,1
3051075,1
4463541,1
4003392,1
4357468,1
2782598,1
4445226,1
4447504,1
2425982,1
1904585,1
4142768,1
2497479,1
4240327,2
4457099,1
3088490,1
2303860,1
4055288,1
4257645,1
3872788,1
2915024,1
3345206,1
4363913,2
3889041,1
3504533,1
3598693,1
3873066,2
4446290,1
4275628,1
3947353,1
2176828,1
4328184,1
4311029,1
4263883,1
3514786,1
3670639,1
3683897,4
1965887,1
4359748,1
4177294,1
3825187,1
4263432,1
3630166,1
4317204,1
4283530,1
2777138,1
3261293,1
3577752,1
4059684,1
4161527,1
4046426,1
4265711,1
3402016,1
3604328,1
4166766,1
4090581,1
4308909,2
4415216,2
4440326,1
4436204,1
2437452,1
4097926,1
4316766,1
1951462,1
3630664,1
3821338,1
4435927,1
3761740,2
4158749,2
2184689,1
4368049,1
4415668,1
4100563,5
3056410,1
2249002,1
4339538,1
3562391,1
2033281,2
4334137,1
2972315,1
4435928,1
3866439,1
4172104,2
3658836,1
3988894,1
4275353,1
3652383,1
4386861,1
3452628,1
3625491,1
3656893,1
4165923,1
3532494,1
3864045,1
4367817,1
3938287,1
4331510,1
4426696,1
4435812,1
4243062,1
3009874,1
3982810,1
4209043,1
4190260,1
4202022,1
3970571,1
4358585,1
3450849,1
4329128,1
4139925,1
4332403,1
4283538,2
3568731,1
3715034,2
3864048,1
4249851,2
4178076,1
4429253,1
4405592,1
2910129,1
4154460,2
1441761,1
4001054,2
4130510,1
3086313,1
3668362,1
4350837,2
4366650,1
4471455,1
3860485,1
4452906,1
2233860,1
4312308,1
4379620,4
3680710,1
4233922,1
3420222,1
3939678,2
4028173,1
1621131,2
2605409,1
4400518,2
4433422,1
4215897,1
4311418,1
4411048,1
4129019,1
4372394,1
2502783,1
4445295,1
4234653,1
3630104,1
4341768,1
4439103,1
4415280,1
3491821,1
4478362,1
2387710,1
4044376,1
4356196,1
4433425,1
4310863,2
3665081,1
1843544,1
3881360,1
3840770,1
4324228,1
4422120,1
4220506,1
4424191,1
4376618,1
4249858,1
3526482,1
4285380,1
3967230,1
4431149,1
3723717,1
4261386,1
4373333,1
3201437,1
3846450,1
3888707,1
4219681,1
3967231,2
4351004,1
4386097,1
4424193,2
2934625,1
3616023,1
4218501,1
4192708,1
3847298,1
4407878,1
4161802,1
4151506,1
3625998,2
4221120,1
3955767,1
4446848,1
4397285,1
3761023,1
4331854,1
2888349,1
4085465,1
4448469,1
3897501,2
3516071,1
3841052,1
4373336,1
4445796,1
4199613,3
4362806,1
2791176,1
4281486,4
4429640,1
4149790,1
4352231,2
4398060,1
4179850,1
4376956,1
4082956,2
2257864,1
1997233,1
4409706,1
4131906,1
3583771,1
2909851,1
4424403,1
4332630,2
4311598,1
3406480,1
3125806,1
4074776,2
3668912,1
3430861,1
4119442,2
4282874,1
3976596,1
4005952,1
4275747,1
4425133,1
4398062,1
4310257,1
3614246,1
3292974,1
2522933,1
4084578,1
3581658,1
2862503,1
4429030,1
4375004,1
4284658,1
2290383,2
4212828,1
4208382,1
2355921,1
